participant_id,random_id,trial_index,trial_number,time_elapsed,rt,stimulus,object_id,angle,same_different,response,task,correct_response,correct,is_right,response_1,response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12,response_13,response_14,response_15,response_16,age,gender,education,handedness,vision,technical_difficulties,knowledge_check
giraffe,p2mpwwhb0pg,57,18,144155,2002,stimuli/39_100_R.jpg,39,100,different,f,response,j,FALSE,0,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,60,19,147099,1436,stimuli/14_50.jpg,14,50,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,63,20,150414,1807,stimuli/47_150.jpg,47,150,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,66,21,154744,2822,stimuli/6_100_R.jpg,6,100,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,69,22,158403,2151,stimuli/34_100.jpg,34,100,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,72,23,161806,1892,stimuli/3_150_R.jpg,3,150,different,f,response,j,FALSE,0,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,75,24,164568,1254,stimuli/14_50_R.jpg,14,50,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,78,25,167073,1000,stimuli/41_0.jpg,41,0,same,f,response,f,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,81,26,170911,2331,stimuli/27_100_R.jpg,27,100,different,j,response,j,TRUE,1,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
giraffe,p2mpwwhb0pg,84,27,173298,879,stimuli/40_0_R.jpg,40,0,different,f,response,j,FALSE,0,Moderately clear and lively,Clear and lively,Moderately clear and lively,Clear and lively,Moderately clear and lively,Dim and vague; flat,"No image at all, you only “know” that you are thinking of the object","No image at all, you only “know” that you are thinking of the object",Clear and lively,"No image at all, you only “know” that you are thinking of the object",Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,Moderately clear and lively,Dim and vague; flat,21,male,some-college,right,corrected,no,mental rotation based on positioning
