"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","1151","pyhdcx2mcqu","","","","","",""
"true","","","","","fullscreen","1","2.0.0","2865","pyhdcx2mcqu","707","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","3777","pyhdcx2mcqu","911","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","5861","pyhdcx2mcqu","2082","","{""participant_id"":""shark""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","8666","pyhdcx2mcqu","2803","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","9669","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","18647","pyhdcx2mcqu","8976","stimuli/3_0.jpg","f","response","f","true"
"","","","","","html-keyboard-response","7","2.0.0","19156","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","20161","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","25259","pyhdcx2mcqu","5097","stimuli/13_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","10","2.0.0","25761","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","26770","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","31929","pyhdcx2mcqu","5158","stimuli/23_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","32441","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","33451","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","36053","pyhdcx2mcqu","2601","stimuli/4_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","36568","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","37582","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","44757","pyhdcx2mcqu","7174","stimuli/28_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","19","2.0.0","45263","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","46274","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","48924","pyhdcx2mcqu","2649","stimuli/22_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","22","2.0.0","49433","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","50441","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","24","2.0.0","54523","pyhdcx2mcqu","4081","stimuli/26_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","25","2.0.0","55032","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","26","2.0.0","56046","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","27","2.0.0","67597","pyhdcx2mcqu","11550","stimuli/29_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","28","2.0.0","68106","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","29","2.0.0","69121","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","30","2.0.0","71291","pyhdcx2mcqu","2170","stimuli/11_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","31","2.0.0","71802","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","32","2.0.0","72809","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","33","2.0.0","75074","pyhdcx2mcqu","2263","stimuli/14_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","34","2.0.0","75583","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","35","2.0.0","76587","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","36","2.0.0","81775","pyhdcx2mcqu","5187","stimuli/48_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","37","2.0.0","82284","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","38","2.0.0","83290","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","39","2.0.0","85897","pyhdcx2mcqu","2606","stimuli/48_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","40","2.0.0","86399","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","41","2.0.0","87409","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","42","2.0.0","91049","pyhdcx2mcqu","3639","stimuli/44_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","43","2.0.0","91560","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","44","2.0.0","92563","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","45","2.0.0","107173","pyhdcx2mcqu","14609","stimuli/2_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","46","2.0.0","107689","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","47","2.0.0","108695","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","48","2.0.0","111760","pyhdcx2mcqu","3064","stimuli/5_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","49","2.0.0","112270","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","50","2.0.0","113281","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","51","2.0.0","118589","pyhdcx2mcqu","5307","stimuli/46_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","52","2.0.0","119101","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","53","2.0.0","120112","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","54","2.0.0","122479","pyhdcx2mcqu","2366","stimuli/44_50.jpg","f","response","f","true"
"","","","","","html-keyboard-response","55","2.0.0","122987","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","56","2.0.0","123997","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","57","2.0.0","127926","pyhdcx2mcqu","3928","stimuli/26_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","58","2.0.0","128428","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","59","2.0.0","129437","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","60","2.0.0","134074","pyhdcx2mcqu","4636","stimuli/39_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","61","2.0.0","134577","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","62","2.0.0","135593","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","63","2.0.0","139873","pyhdcx2mcqu","4279","stimuli/11_0_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","64","2.0.0","140390","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","65","2.0.0","141393","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","66","2.0.0","146293","pyhdcx2mcqu","4898","stimuli/6_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","67","2.0.0","146803","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","68","2.0.0","147814","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","69","2.0.0","151865","pyhdcx2mcqu","4049","stimuli/20_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","70","2.0.0","152371","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","71","2.0.0","153377","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","72","2.0.0","156215","pyhdcx2mcqu","2838","stimuli/20_50_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","73","2.0.0","156716","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","74","2.0.0","157726","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","75","2.0.0","162847","pyhdcx2mcqu","5121","stimuli/45_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","76","2.0.0","163353","pyhdcx2mcqu","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","77","2.0.0","164357","pyhdcx2mcqu","null","<div style=""font-size: 75px;"">+</div>","null","","",""
