"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.0.0","3771","ptap87z4jcs","","","","","",""
"true","","","","","fullscreen","1","2.0.0","5788","ptap87z4jcs","1004","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","6875","ptap87z4jcs","1085","Welcome to the experiment. Press any key to begin."," ","","",""
"","","","","","survey-text","3","2.0.0","10923","ptap87z4jcs","4039","","{""participant_id"":""gorilla""}","","",""
"","","","","","html-keyboard-response","4","2.0.0","41932","ptap87z4jcs","31005","
        <p>Welcome to the experiment.</p>
        <p>In this task, you will see pairs of images.</p>
        <p>Your job is to determine whether the image on the right is a rotated version of the image on the left.</p>
        <p>Press the <strong>F</strong> key if the images are the same.</p>
        <p>Press the <strong>J</strong> key if the images are different.</p>
        <p>Press any key to begin.</p>
    "," ","","",""
"","","","","","html-keyboard-response","5","2.0.0","42947","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","6","2.0.0","58517","ptap87z4jcs","15560","stimuli/22_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","7","2.0.0","59020","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","8","2.0.0","60027","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","9","2.0.0","68021","ptap87z4jcs","7991","stimuli/6_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","10","2.0.0","68529","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","11","2.0.0","69533","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","12","2.0.0","79006","ptap87z4jcs","9469","stimuli/25_100_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","13","2.0.0","79514","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","14","2.0.0","80528","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","15","2.0.0","85131","ptap87z4jcs","4602","stimuli/16_100.jpg","f","response","f","true"
"","","","","","html-keyboard-response","16","2.0.0","85649","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","17","2.0.0","86652","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","18","2.0.0","95886","ptap87z4jcs","9229","stimuli/9_150_R.jpg","j","response","j","true"
"","","","","","html-keyboard-response","19","2.0.0","96396","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","20","2.0.0","97413","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
"","","","","","image-keyboard-response","21","2.0.0","107682","ptap87z4jcs","10265","stimuli/8_150.jpg","f","response","f","true"
"","","","","","html-keyboard-response","22","2.0.0","108192","ptap87z4jcs","null","<p style=""border: 5px solid green;"">Correct!</p>","null","","",""
"","","","","","html-keyboard-response","23","2.0.0","109195","ptap87z4jcs","null","<div style=""font-size: 75px;"">+</div>","null","","",""
